item_code;item_name;cbm
ES-T79SJ-PK;WASHING MACHINE TWIN TUB LOCAL;0.349
ES-T80MW-BK;WASHING MACHINE TWIN TUB LOCAL;0.351
ES-T80MW-HK;WASHING MACHINE TWIN TUB LOCAL;0.351
ES-T80MW-PK;WASHING MACHINE TWIN TUB LOCAL;0.351
ES-T85CR-BK;WASHING MACHINE TWIN TUB LOCAL;0.445
ES-T85CR-PK;WASHING MACHINE TWIN TUB LOCAL;0.447
ES-T85CR-VK;WASHING MACHINE TWIN TUB LOCAL;0.447
ES-T85NT-LC;WASHING MACHINE TWIN;0.455
ES-T85NT-PK;WASHING MACHINE TWIN;0.455
ES-T86CL-HK;WASHING MACHINE TWIN TUB LOCAL;0.475
ES-T871DM-BL;WM TWIN TUBE 8 KG;0.514
ES-T871DM-PK;WASHING MACHINE TWIN TUB 8 KG (PINK);0.514
ES-T90MW-BK;WASHING MACHINE TWIN TUB LOCAL;0.445
ES-T90MW-HK;WASHING MACHINE TWIN TUB LOCAL;0.445
ES-T90MW-PK;WASHING MACHINE TWIN TUB LOCAL;0.445
ES-T95CR-BK;WASHING MACHINE TWIN TUB LOCAL;0.451
ES-T95CR-PK;WASHING MACHINE TWIN TUB LOCAL;0.451
ES-T95CR-VK;WASHING MACHINE TWIN TUB LOCAL;0.451
ES-T95NT-LC;WASHING MACHINE TWIN;0.46
ES-T95NT-PK;WASHING MACHINE TWIN;0.421
ES-T96CL-HK;WASHING MACHINE TWIN TUB LOCAL;0.46
ES-T971DM-BL;WM TWIN TUBE 9 KG;0.514
ES-T971DM-PK;WM TWIN TUBE 9 KG;0.514
FJ-M186A-HS;STANDING FREEZER;0.501
FJ-M198A-HS;STANDING FREEZER;0.563
FP-F30Y-A;AIR PURIFIER FOR 21M;0.057
FP-F30Y-C;AIR PURIFIER FOR 21M;0.057
FP-F30Y-H;AIR PURIFIER;0.057
FP-F40Y-W;AIR PURIFIER FOR 30M2 ;0.072
FP-J30Y-A;AIR PURIFIER;0.056
FP-J30Y-B;AIR PURIFIER 23M2 EN;0.056
FP-J50Y-H;AIR PURIFIER;0.096
FP-JM30Y-B;AIR PURIFIER MOSQUIT;0.075
FP-S40Y-W;AIR PURIFIER;0.041
FP-S42Y-L;AIR PURIFIER PUREFIT 30M2 AIOT GRAY;0.041
FRV-150X;CHEST FREEZER;0.397
FRV-200;CHEST FREEZER;0.589
FRV-210X;CHEST FREEZER;0.51
FRV-300;CHEST FREEZER;0.694
FRV-310X;CHEST FREEZER;0.679
